Precinct,Voters,Nearest VSPC,Distance to Nearest VSPC (mi.),Assigned VSPC,Distance to Assigned VSPC (mi.),Distance Difference (mi.),Reassigned,Voters Assigned,Precincts Assigned,Address,City,State,Zip,Precinct Map URL
464,911,Trails Recreation Center,2.83,Arapahoe County CentrePoint Plaza,4.97,2.14,True,18310,15,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_464.pdf
470,1190,City of Aurora Municipal Center,1.58,Arapahoe County CentrePoint Plaza,3.28,1.69,True,18310,15,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_470.pdf
537,1135,City of Aurora Municipal Center,0.79,Arapahoe County CentrePoint Plaza,2.52,1.73,True,18310,15,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_537.pdf
538,1203,City of Aurora Municipal Center,0.71,Arapahoe County CentrePoint Plaza,2.39,1.69,True,18310,15,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_538.pdf
544,1403,City of Aurora Municipal Center,0.62,Arapahoe County CentrePoint Plaza,1.19,0.57,True,18310,15,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_544.pdf
545,322,Arapahoe County CentrePoint Plaza,0.94,Arapahoe County CentrePoint Plaza,0.94,0.00,False,18310,15,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_545.pdf
554,1141,City of Aurora Municipal Center,0.96,Arapahoe County CentrePoint Plaza,1.98,1.01,True,18310,15,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_554.pdf
556,1549,The Avenue Church,1.46,Arapahoe County CentrePoint Plaza,2.54,1.08,True,18310,15,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_556.pdf
330,1905,Trails Recreation Center,3.76,Arapahoe County Fairgrounds,8.31,4.55,True,9277,10,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_330.pdf
348,0,Arapahoe County Fairgrounds,11.10,Arapahoe County Fairgrounds,11.10,0.00,False,9277,10,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_348.pdf
353,1175,Trails Recreation Center,5.26,Arapahoe County Fairgrounds,8.16,2.91,True,9277,10,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_353.pdf
357,741,Arapahoe County Fairgrounds,6.65,Arapahoe County Fairgrounds,6.65,0.00,False,9277,10,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_357.pdf
359,2,Arapahoe County Fairgrounds,2.18,Arapahoe County Fairgrounds,2.18,0.00,False,9277,10,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_359.pdf
360,1540,Arapahoe County Fairgrounds,0.85,Arapahoe County Fairgrounds,0.85,0.00,False,9277,10,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_360.pdf
361,1729,Arapahoe County Fairgrounds,1.51,Arapahoe County Fairgrounds,1.51,0.00,False,9277,10,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_361.pdf
362,500,Arapahoe County Fairgrounds,3.87,Arapahoe County Fairgrounds,3.87,0.00,False,9277,10,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_362.pdf
366,492,Arapahoe County Fairgrounds,11.18,Arapahoe County Fairgrounds,11.18,0.00,False,9277,10,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_366.pdf
