X,Y,US_CONG,CO_SEN,CO_HSE,ARAP,COMM,COLO_PREC,PRECINCT,HYPERLINK,created_us,created_da,last_edite,last_edi_1,Voter_Coun,Voter_Co_1,Shape_Leng,Shape_Area
-104.837045976254,39.7166820401059,"6","28","42","03","0","6284203523","523",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_523.pdf,AC,2022/02/02,AC,2025/10/20,1356,2025/10/20,0.06484624471,0.00022665308
-104.850278942059,39.7169640563621,"6","28","42","03","0","6284203512","512",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_512.pdf,AC,2022/02/02,AC,2025/10/20,1021,2025/10/20,0.02969352709,0.00004405874
-104.863558181574,39.7156463164342,"6","28","42","03","0","6284203511","511",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_511.pdf,AC,2022/02/02,AC,2025/10/20,1076,2025/10/20,0.05536816388,0.00011320521
-104.85467195555,39.7127534574539,"6","28","42","03","0","6284203513","513",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_513.pdf,AC,2022/02/02,AC,2025/10/20,1016,2025/10/20,0.03345952949,0.00004226774
-104.79887964298,39.7097693431033,"6","28","42","03","0","6284203544","544",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_544.pdf,AC,2022/02/02,AC,2025/10/20,1474,2025/10/20,0.05380772348,0.00008102158
-104.814411548892,39.7041519917491,"6","29","42","03","0","6294203535","535",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_535.pdf,AC,2022/02/02,AC,2025/10/20,924,2025/10/20,0.04417743224,0.00010093852
-104.823865006098,39.7034706060364,"6","29","42","03","0","6294203534","534",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_534.pdf,AC,2022/02/02,AC,2025/10/20,962,2025/10/20,0.04699888341,0.00013146143
-104.831189161232,39.7036484038277,"6","29","42","03","0","6294203521","521",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_521.pdf,AC,2022/02/02,AC,2025/10/20,910,2025/10/20,0.04450069274,0.00008009888
-104.836476922244,39.7038393290851,"6","29","42","03","0","6294203520","520",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_520.pdf,AC,2022/02/02,AC,2025/10/20,1017,2025/10/20,0.04556290776,0.00007674204
-104.842569897867,39.7072369110853,"6","29","42","03","0","6294203522","522",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_522.pdf,AC,2022/02/02,AC,2025/10/20,1110,2025/10/20,0.03736637963,0.00007379167
-104.850991759532,39.7072202928179,"6","29","42","03","0","6294203515","515",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_515.pdf,AC,2022/02/02,AC,2025/10/20,1108,2025/10/20,0.03064708640,0.00005931125
-104.860411812314,39.7074951428089,"6","29","42","03","0","6294203514","514",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_514.pdf,AC,2022/02/02,AC,2025/10/20,733,2025/10/20,0.03674448198,0.00008048955
-104.935265639454,39.7058575283706,"1","32","09","03","0","1320903460","460",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_460.pdf,AC,2022/02/02,AC,2025/10/20,1370,2025/10/20,0.06281450995,0.00011115381
-104.807853324011,39.7025590727682,"6","29","42","03","0","6294203542","542",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_542.pdf,AC,2022/02/02,AC,2025/10/20,523,2025/10/20,0.03288355971,0.00004983043
-104.803577041581,39.7024410653457,"6","29","42","03","0","6294203541","541",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_541.pdf,AC,2022/02/02,AC,2025/10/20,778,2025/10/20,0.03479727518,0.00004790517
-104.79612299619,39.7036220905522,"6","29","42","03","0","6294203543","543",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_543.pdf,AC,2022/02/02,AC,2025/10/20,1026,2025/10/20,0.03225743643,0.00006570701
-104.78486976487,39.703198613691,"6","29","36","03","0","6293603552","552",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_552.pdf,AC,2022/02/02,AC,2025/10/20,1110,2025/10/20,0.03682436857,0.00007072561
-104.78107123931,39.6988685593509,"6","29","36","03","0","6293603553","553",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_553.pdf,AC,2022/02/02,AC,2025/10/20,1433,2025/10/20,0.04634383328,0.00008037817
-104.861259179451,39.7017141270275,"6","29","42","03","0","6294203516","516",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_516.pdf,AC,2022/02/02,AC,2025/10/20,837,2025/10/20,0.04813889163,0.00006705565
-104.84952406198,39.6999428274898,"6","29","42","03","0","6294203518","518",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_518.pdf,AC,2022/02/02,AC,2025/10/20,701,2025/10/20,0.02316383352,0.00003148269
-104.843864275544,39.6999786739615,"6","29","42","03","0","6294203519","519",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_519.pdf,AC,2022/02/02,AC,2025/10/20,788,2025/10/20,0.02690150645,0.00004369529
-104.934992395931,39.6979708941764,"1","32","09","03","0","1320903474","474",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_474.pdf,AC,2022/02/02,AC,2025/10/20,1079,2025/10/20,0.05641673899,0.00004497932
-104.816727318586,39.6985602535525,"6","29","42","03","0","6294203536","536",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_536.pdf,AC,2022/02/02,AC,2025/10/20,731,2025/10/20,0.01855848716,0.00002148489
-104.796619700245,39.698399951122,"6","29","42","03","0","6294203540","540",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_540.pdf,AC,2022/02/02,AC,2025/10/20,775,2025/10/20,0.03213228535,0.00004110364
-104.858900454417,39.6983830069471,"6","29","42","03","0","6294203517","517",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_517.pdf,AC,2022/02/02,AC,2025/10/20,866,2025/10/20,0.03546722917,0.00005111756
-104.871006102417,39.6932192277905,"6","29","41","03","0","6294103411","411",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_411.pdf,AC,2022/02/02,AC,2025/10/20,1459,2025/10/20,0.04150264548,0.00007230208
-104.77447617932,39.6920379679105,"6","29","41","03","0","6294103555","555",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_555.pdf,AC,2022/02/02,AC,2025/10/20,1042,2025/10/20,0.03166589919,0.00004209714
-104.784110263288,39.6940019927303,"6","29","41","03","0","6294103554","554",https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_554.pdf,AC,2022/02/02,AC,2025/10/20,1188,2025/10/20,0.03706507427,0.00006685334
