Precinct,Voters,Nearest VSPC,Distance to Nearest VSPC (mi.),Assigned VSPC,Distance to Assigned VSPC (mi.),Distance Difference (mi.),Reassigned,Voters Assigned,Precincts Assigned,Address,City,State,Zip,Precinct Map URL
343,1427,Cherry Creek School District Instructional Support Facility,1.83,Cherry Creek School District Instructional Support Facility,1.83,0.00,False,24654,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_343.pdf
344,2234,Murphy Creek Golf Course,1.55,Murphy Creek Golf Course,1.55,0.00,False,14073,9,1700 S. Old Tom Morris Rd.,Aurora,CO,80018,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_344.pdf
348,0,Kelver Library,11.80,Kelver Library,11.80,0.00,False,4667,4,585 S Main St,Byers,CO,80103,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_348.pdf
349,0,Arapahoe County Fairgrounds,1.35,Arapahoe County Fairgrounds,1.35,0.00,False,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_349.pdf
350,12,Arapahoe County Fairgrounds,0.46,Arapahoe County Fairgrounds,0.46,0.00,False,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_350.pdf
351,2107,Arapahoe County Fairgrounds,1.19,Arapahoe County Fairgrounds,1.19,0.00,False,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_351.pdf
352,2315,Tallyns Reach Library,1.04,Arapahoe County Fairgrounds,2.14,1.10,True,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_352.pdf
353,1175,Tallyns Reach Library,0.47,Tallyns Reach Library,0.47,0.00,False,14891,13,23911 E Arapahoe Rd,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_353.pdf
354,1781,Tallyns Reach Library,0.75,Arapahoe County Fairgrounds,3.50,2.76,True,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_354.pdf
355,2564,Tallyns Reach Library,1.90,Arapahoe County Fairgrounds,3.23,1.33,True,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_355.pdf
357,741,Arapahoe County Fairgrounds,7.41,Arapahoe County Fairgrounds,7.41,0.00,False,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_357.pdf
358,2,Arapahoe County Fairgrounds,1.91,Arapahoe County Fairgrounds,1.91,0.00,False,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_358.pdf
359,2,Vista PEAK,3.53,Vista PEAK,3.53,0.00,False,9026,6,24500 E. 6th Ave,Aurora,CO,80018,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_359.pdf
360,1540,Murphy Creek Golf Course,3.19,Murphy Creek Golf Course,3.19,0.00,False,14073,9,1700 S. Old Tom Morris Rd.,Aurora,CO,80018,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_360.pdf
361,1729,Vista PEAK,2.88,Vista PEAK,2.88,0.00,False,9026,6,24500 E. 6th Ave,Aurora,CO,80018,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_361.pdf
362,500,Vista PEAK,6.93,Vista PEAK,6.93,0.00,False,9026,6,24500 E. 6th Ave,Aurora,CO,80018,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_362.pdf
363,2034,Kelver Library,7.64,Kelver Library,7.64,0.00,False,4667,4,585 S Main St,Byers,CO,80103,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_363.pdf
364,1599,Kelver Library,2.89,Kelver Library,2.89,0.00,False,4667,4,585 S Main St,Byers,CO,80103,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_364.pdf
365,1034,Kelver Library,16.20,Kelver Library,16.20,0.00,False,4667,4,585 S Main St,Byers,CO,80103,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_365.pdf
