Precinct,Voters,Voter Service Polling Center (VSPC),VSPC Total Voters,VSPC Precinct Count,Address,City,State,Zip,Distance From Precinct (mi.),Area Lead,District Captain (DC),Precinct Lead,Hand Counter 1,Hand Counter 2,Hand Counter 3,Hand Counter 4,Hand Counter 5,Hand Counter 6,Hand Counter 7,Hand Counter 8,Hand Counter 9,Hand Counter 10,Hand Counter 11,Hand Counter 12
235,733,Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,2.29,,,,,,,,,,,,,,,
236,689,Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,1.74,,,,,,,,,,,,,,,
237,1208,Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,2.21,,,,,,,,,,,,,,,
238,885,Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,1.64,,,,,,,,,,,,,,,
239,863,Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,2.45,,,,,,,,,,,,,,,
240,1681,Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,1.8,,,,,,,,,,,,,,,
241,1055,Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,2.68,,,,,,,,,,,,,,,
242,759,Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,2.22,,,,,,,,,,,,,,,
329,1384,Arapahoe County Lima Plaza,12040,12,6954 S Lima St,Centennial,CO,80112,6.48,,,,,,,,,,,,,,,
503,1827,Aurora Center for Active Adults,14285,14,30 Del Mar Cir,Aurora,CO,80011,1.6,,,,,,,,,,,,,,,
504,1029,Aurora Center for Active Adults,14285,14,30 Del Mar Cir,Aurora,CO,80011,1.51,,,,,,,,,,,,,,,
505,1053,Aurora Center for Active Adults,14285,14,30 Del Mar Cir,Aurora,CO,80011,1.35,,,,,,,,,,,,,,,
506,1731,Aurora Center for Active Adults,14285,14,30 Del Mar Cir,Aurora,CO,80011,0.74,,,,,,,,,,,,,,,
507,937,Aurora Center for Active Adults,14285,14,30 Del Mar Cir,Aurora,CO,80011,0.78,,,,,,,,,,,,,,,
508,720,Aurora Center for Active Adults,14285,14,30 Del Mar Cir,Aurora,CO,80011,0.29,,,,,,,,,,,,,,,
509,658,Aurora Center for Active Adults,14285,14,30 Del Mar Cir,Aurora,CO,80011,0.87,,,,,,,,,,,,,,,
510,694,Aurora Center for Active Adults,14285,14,30 Del Mar Cir,Aurora,CO,80011,0.54,,,,,,,,,,,,,,,
511,1045,Aurora Center for Active Adults,14285,14,30 Del Mar Cir,Aurora,CO,80011,1.27,,,,,,,,,,,,,,,
513,1045,Aurora Center for Active Adults,14285,14,30 Del Mar Cir,Aurora,CO,80011,1.19,,,,,,,,,,,,,,,
514,896,Aurora Center for Active Adults,14285,14,30 Del Mar Cir,Aurora,CO,80011,1.64,,,,,,,,,,,,,,,
515,1026,Aurora Center for Active Adults,14285,14,30 Del Mar Cir,Aurora,CO,80011,1.51,,,,,,,,,,,,,,,
516,832,Aurora Center for Active Adults,14285,14,30 Del Mar Cir,Aurora,CO,80011,2.02,,,,,,,,,,,,,,,
517,792,Aurora Center for Active Adults,14285,14,30 Del Mar Cir,Aurora,CO,80011,2.2,,,,,,,,,,,,,,,
408,1917,Aurora Public Schools Educational Service Center 4,4502,4,1085 Peoria St,Aurora,CO,80011,3.19,,,,,,,,,,,,,,,
432,1335,Aurora Public Schools Educational Service Center 4,4502,4,1085 Peoria St,Aurora,CO,80011,2.76,,,,,,,,,,,,,,,
528,536,Aurora Public Schools Educational Service Center 4,4502,4,1085 Peoria St,Aurora,CO,80011,0.51,,,,,,,,,,,,,,,
529,714,Aurora Public Schools Educational Service Center 4,4502,4,1085 Peoria St,Aurora,CO,80011,0.89,,,,,,,,,,,,,,,
533,1433,Aurora Public Schools Professional Learning & Conference Center,7681,8,15771 E 1st Ave,Aurora,CO,80011,0.56,,,,,,,,,,,,,,,
539,1187,Aurora Public Schools Professional Learning & Conference Center,7681,8,15771 E 1st Ave,Aurora,CO,80011,1.99,,,,,,,,,,,,,,,
541,762,Aurora Public Schools Professional Learning & Conference Center,7681,8,15771 E 1st Ave,Aurora,CO,80011,1.19,,,,,,,,,,,,,,,
543,1015,Aurora Public Schools Professional Learning & Conference Center,7681,8,15771 E 1st Ave,Aurora,CO,80011,1.19,,,,,,,,,,,,,,,
548,509,Aurora Public Schools Professional Learning & Conference Center,7681,8,15771 E 1st Ave,Aurora,CO,80011,1.3,,,,,,,,,,,,,,,
549,558,Aurora Public Schools Professional Learning & Conference Center,7681,8,15771 E 1st Ave,Aurora,CO,80011,1.27,,,,,,,,,,,,,,,
554,1125,Aurora Public Schools Professional Learning & Conference Center,7681,8,15771 E 1st Ave,Aurora,CO,80011,2.08,,,,,,,,,,,,,,,
558,1092,Aurora Public Schools Professional Learning & Conference Center,7681,8,15771 E 1st Ave,Aurora,CO,80011,2.34,,,,,,,,,,,,,,,
435,1478,Beck Recreation Center,12237,10,800 Telluride St,Aurora,CO,80011,3.67,,,,,,,,,,,,,,,
447,1614,Beck Recreation Center,12237,10,800 Telluride St,Aurora,CO,80011,6.42,,,,,,,,,,,,,,,
452,1070,Beck Recreation Center,12237,10,800 Telluride St,Aurora,CO,80011,4.34,,,,,,,,,,,,,,,
454,1119,Beck Recreation Center,12237,10,800 Telluride St,Aurora,CO,80011,4.88,,,,,,,,,,,,,,,
456,1225,Beck Recreation Center,12237,10,800 Telluride St,Aurora,CO,80011,5.38,,,,,,,,,,,,,,,
473,1069,Beck Recreation Center,12237,10,800 Telluride St,Aurora,CO,80011,3.78,,,,,,,,,,,,,,,
531,873,Beck Recreation Center,12237,10,800 Telluride St,Aurora,CO,80011,2.18,,,,,,,,,,,,,,,
544,1557,Beck Recreation Center,12237,10,800 Telluride St,Aurora,CO,80011,2.15,,,,,,,,,,,,,,,
546,1145,Beck Recreation Center,12237,10,800 Telluride St,Aurora,CO,80011,1.75,,,,,,,,,,,,,,,
547,1087,Beck Recreation Center,12237,10,800 Telluride St,Aurora,CO,80011,1.27,,,,,,,,,,,,,,,
126,879,Bemis Public Library,17318,18,6014 S Datura St,Littleton,CO,80120,1.0,,,,,,,,,,,,,,,
141,489,Bemis Public Library,17318,18,6014 S Datura St,Littleton,CO,80120,2.63,,,,,,,,,,,,,,,
