Primary Captain District,Precinct,Voters,Nearest VSPC,Distance to Nearest VSPC (mi.),Assigned VSPC,Distance to Assigned VSPC (mi.),Distance Difference (mi.),Reassigned,Voters Assigned,Precincts Assigned,Address,City,State,Zip,Precinct Map URL
30,279,934,Smoky Hill Library,0.57,Smoky Hill Library,0.57,0.0,False,20838,18,5430 S Biscay Cir,Centennial,CO,80015,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_279.pdf
31,280,1219,Smoky Hill Library,0.35,Smoky Hill Library,0.35,0.0,False,20838,18,5430 S Biscay Cir,Centennial,CO,80015,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_280.pdf
31,281,1216,Trails Recreation Center,0.71,Trails Recreation Center,0.71,0.0,False,20119,21,16799 E. Lake Ave.,Centennial,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_281.pdf
31,282,1610,Trails Recreation Center,0.76,Trails Recreation Center,0.76,0.0,False,20119,21,16799 E. Lake Ave.,Centennial,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_282.pdf
31,283,1024,Smoky Hill Library,0.93,Smoky Hill Library,0.93,0.0,False,20838,18,5430 S Biscay Cir,Centennial,CO,80015,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_283.pdf
33,284,923,Trails Recreation Center,0.96,Trails Recreation Center,0.96,0.0,False,20119,21,16799 E. Lake Ave.,Centennial,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_284.pdf
31,285,814,Trails Recreation Center,1.26,Trails Recreation Center,1.26,0.0,False,20119,21,16799 E. Lake Ave.,Centennial,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_285.pdf
12,286,1766,Arapahoe County Lima Plaza,0.84,Arapahoe County Lima Plaza,0.84,0.0,False,20444,17,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_286.pdf
33,287,196,Trails Recreation Center,1.35,Trails Recreation Center,1.35,0.0,False,20119,21,16799 E. Lake Ave.,Centennial,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_287.pdf
,288,0,Trails Recreation Center,1.07,Trails Recreation Center,1.07,0.0,False,20119,21,16799 E. Lake Ave.,Centennial,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_288.pdf
,289,0,Trails Recreation Center,1.06,Trails Recreation Center,1.06,0.0,False,20119,21,16799 E. Lake Ave.,Centennial,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_289.pdf
,290,915,Mission Viejo Library,1.44,Mission Viejo Library,1.44,0.0,False,21193,19,15324 E Hampden Cir,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_290.pdf
,291,1078,Mission Viejo Library,1.03,Mission Viejo Library,1.03,0.0,False,21193,19,15324 E Hampden Cir,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_291.pdf
28,301,1125,Central Recreation Center,1.72,Parkside Village Retirement Resort,3.09,1.37,True,19166,17,14501 E Crestline Dr,Aurora,CO,80015,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_301.pdf
,302,904,Smoky Hill Library,1.18,Smoky Hill Library,1.18,0.0,False,20838,18,5430 S Biscay Cir,Centennial,CO,80015,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_302.pdf
26,303,1103,Smoky Hill Library,1.52,Smoky Hill Library,1.52,0.0,False,20838,18,5430 S Biscay Cir,Centennial,CO,80015,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_303.pdf
28,304,980,Trails Recreation Center,1.22,Trails Recreation Center,1.22,0.0,False,20119,21,16799 E. Lake Ave.,Centennial,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_304.pdf
28,305,814,Smoky Hill Library,0.88,Smoky Hill Library,0.88,0.0,False,20838,18,5430 S Biscay Cir,Centennial,CO,80015,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_305.pdf
26,306,898,Smoky Hill Library,0.73,Smoky Hill Library,0.73,0.0,False,20838,18,5430 S Biscay Cir,Centennial,CO,80015,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_306.pdf
28,307,893,Smoky Hill Library,0.62,Smoky Hill Library,0.62,0.0,False,20838,18,5430 S Biscay Cir,Centennial,CO,80015,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_307.pdf
31,308,1193,Smoky Hill Library,0.15,Smoky Hill Library,0.15,0.0,False,20838,18,5430 S Biscay Cir,Centennial,CO,80015,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_308.pdf
30,309,657,Smoky Hill Library,0.6,Smoky Hill Library,0.6,0.0,False,20838,18,5430 S Biscay Cir,Centennial,CO,80015,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_309.pdf
27,310,1065,Central Recreation Center,0.47,Central Recreation Center,0.47,0.0,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_310.pdf
17,311,1248,Central Recreation Center,1.03,Murphy Creek Golf Course,2.84,1.81,True,14073,9,1700 S. Old Tom Morris Rd.,Aurora,CO,80018,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_311.pdf
27,312,1819,Central Recreation Center,0.57,Murphy Creek Golf Course,3.25,2.68,True,14073,9,1700 S. Old Tom Morris Rd.,Aurora,CO,80018,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_312.pdf
27,313,1151,Central Recreation Center,0.65,Murphy Creek Golf Course,3.69,3.04,True,14073,9,1700 S. Old Tom Morris Rd.,Aurora,CO,80018,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_313.pdf
27,314,864,Central Recreation Center,0.95,Central Recreation Center,0.95,0.0,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_314.pdf
27,315,1611,Central Recreation Center,1.14,Smoky Hill Library,2.91,1.77,True,20838,18,5430 S Biscay Cir,Centennial,CO,80015,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_315.pdf
27,316,831,Central Recreation Center,1.41,Central Recreation Center,1.41,0.0,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_316.pdf
27,317,1044,Central Recreation Center,1.57,Central Recreation Center,1.57,0.0,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_317.pdf
27,318,1056,Central Recreation Center,1.95,Central Recreation Center,1.95,0.0,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_318.pdf
27,319,1869,Smoky Hill Library,1.84,Smoky Hill Library,1.84,0.0,False,20838,18,5430 S Biscay Cir,Centennial,CO,80015,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_319.pdf
31,320,1824,Smoky Hill Library,0.99,Smoky Hill Library,0.99,0.0,False,20838,18,5430 S Biscay Cir,Centennial,CO,80015,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_320.pdf
31,321,1319,Smoky Hill Library,0.46,Smoky Hill Library,0.46,0.0,False,20838,18,5430 S Biscay Cir,Centennial,CO,80015,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_321.pdf
17,322,599,Central Recreation Center,0.82,Central Recreation Center,0.82,0.0,False,15868,19,18150 E Vassar Pl,Aurora,CO,80013,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_322.pdf
34,327,1250,Tallyns Reach Library,1.25,Tallyns Reach Library,1.25,0.0,False,14891,13,23911 E Arapahoe Rd,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_327.pdf
34,329,1345,Tallyns Reach Library,1.37,Tallyns Reach Library,1.37,0.0,False,14891,13,23911 E Arapahoe Rd,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_329.pdf
34,330,1905,Tallyns Reach Library,1.11,Arapahoe County Fairgrounds,3.14,2.04,True,18968,15,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_330.pdf
32,332,1068,Cherry Creek School District Instructional Support Facility,0.81,Cherry Creek School District Instructional Support Facility,0.81,0.0,False,24654,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_332.pdf
32,333,716,Cherry Creek School District Instructional Support Facility,0.73,Cherry Creek School District Instructional Support Facility,0.73,0.0,False,24654,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_333.pdf
32,334,1464,Cherry Creek School District Instructional Support Facility,0.67,Cherry Creek School District Instructional Support Facility,0.67,0.0,False,24654,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_334.pdf
32,335,1772,Cherry Creek School District Instructional Support Facility,1.01,Cherry Creek School District Instructional Support Facility,1.01,0.0,False,24654,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_335.pdf
32,336,1572,Cherry Creek School District Instructional Support Facility,0.84,Cherry Creek School District Instructional Support Facility,0.84,0.0,False,24654,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_336.pdf
32,337,1498,Cherry Creek School District Instructional Support Facility,0.3,Cherry Creek School District Instructional Support Facility,0.3,0.0,False,24654,17,5416 S Riviera Way,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_337.pdf
