Precinct_Lon,Precinct_Lat,US_CONG,CO_SEN,CO_HSE,ARAP,COMM,Precinct,PRECINCT,HYPERLINK,created_us,created_da,last_edite,last_edi_1,Voter_Coun,Voter_Co_1,Shape_Leng,Shape_Area,VSPC_Name,Address,City,State,ZIP,VSPC_Lat,VSPC_Lon,Area_Lead,Precinct_Lead,Hand_Counter_1,Hand_Counter_2,Hand_Counter_3,Hand_Counter_4,Hand_Counter_5,Hand_Counter_6,Hand_Counter_7,Hand_Counter_8,Hand_Counter_9,Hand_Counter_10,VSPC_Rebalanced
-105.018617,39.57039006,6,16,38,3,0,6163803176,176,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_176.pdf,AC,2022/02/02,AC,2025/10/20,1391,2025/10/20,0.08624885219,0.00021503597,Arapahoe Community College,5900 S Santa Fe Dr,Littleton,CO,80120,39.5886,-105.0096,,,,,,,,,,,,,Arapahoe Community College
-104.9806092,39.58535625,6,16,38,3,0,6163803177,177,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_177.pdf,AC,2022/02/02,AC,2025/10/20,997,2025/10/20,0.04682279848,0.00007806217,Arapahoe Community College,5900 S Santa Fe Dr,Littleton,CO,80120,39.5886,-105.0096,,,,,,,,,,,,,Arapahoe Community College
-104.9832133,39.59208834,6,16,38,3,0,6163803178,178,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_178.pdf,AC,2022/02/02,AC,2025/10/20,926,2025/10/20,0.03692485685,0.00005756394,Arapahoe Community College,5900 S Santa Fe Dr,Littleton,CO,80120,39.5886,-105.0096,,,,,,,,,,,,,Arapahoe Community College
-104.9828987,39.59847542,6,16,38,3,0,6163803179,179,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_179.pdf,AC,2022/02/02,AC,2025/10/20,707,2025/10/20,0.0426346866,0.00006535458,Arapahoe Community College,5900 S Santa Fe Dr,Littleton,CO,80120,39.5886,-105.0096,,,,,,,,,,,,,Arapahoe Community College
-104.8007686,39.71856727,6,28,42,3,0,6284203545,545,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_545.pdf,AC,2022/02/02,AC,2025/10/20,366,2025/10/20,0.07417543904,0.00026177259,Arapahoe County CentrePoint Plaza,14980 E Alameda Dr,Aurora,CO,80012,39.7226,-104.7839,,,,,,,,,,,,,Arapahoe County CentrePoint Plaza
-104.4430257,39.73067687,4,21,56,3,1,4215603348,348,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_348.pdf,AC,2022/02/02,AC,2025/10/20,0,2025/10/20,0.0671178021,0.00027779264,Arapahoe County Fairgrounds,25690 E Quincy Ave,Aurora,CO,80016,39.7027,-104.6486,,,,,,,,,,,,,Arapahoe County Fairgrounds
-104.5503903,39.64301651,4,27,56,3,1,4275603357,357,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_357.pdf,AC,2022/02/02,AC,2025/10/20,731,2025/10/20,0.7934572008,0.0171783997,Arapahoe County Fairgrounds,25690 E Quincy Ave,Aurora,CO,80016,39.7027,-104.6486,,,,,,,,,,,,,Arapahoe County Fairgrounds
-104.4622551,39.62769787,4,27,56,3,1,4275603366,366,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_366.pdf,AC,2022/02/02,AC,2025/10/20,502,2025/10/20,0.5746091866,0.01277202071,Arapahoe County Fairgrounds,25690 E Quincy Ave,Aurora,CO,80016,39.7027,-104.6486,,,,,,,,,,,,,Arapahoe County Fairgrounds
-104.6473954,39.72456829,4,28,36,3,1,4283603361,361,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_361.pdf,AC,2022/02/02,AC,2025/10/20,1713,2025/10/20,0.1953088564,0.00077914389,Arapahoe County Fairgrounds,25690 E Quincy Ave,Aurora,CO,80016,39.7027,-104.6486,,,,,,,,,,,,,Arapahoe County Fairgrounds
-104.5761736,39.69648346,4,28,56,3,1,4285603362,362,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_362.pdf,AC,2022/02/02,AC,2025/10/20,516,2025/10/20,0.4755726912,0.00647372922,Arapahoe County Fairgrounds,25690 E Quincy Ave,Aurora,CO,80016,39.7027,-104.6486,,,,,,,,,,,,,Arapahoe County Fairgrounds
-104.6360976,39.73270566,6,28,36,3,1,6283603359,359,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_359.pdf,AC,2022/02/02,AC,2025/10/20,2,2025/10/20,0.1213390897,0.00039907094,Arapahoe County Fairgrounds,25690 E Quincy Ave,Aurora,CO,80016,39.7027,-104.6486,,,,,,,,,,,,,Arapahoe County Fairgrounds
-104.6477137,39.69045623,6,28,36,3,1,6283603360,360,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_360.pdf,AC,2022/02/02,AC,2025/10/20,1503,2025/10/20,0.4019494532,0.00477731587,Arapahoe County Fairgrounds,25690 E Quincy Ave,Aurora,CO,80016,39.7027,-104.6486,,,,,,,,,,,,,Arapahoe County Fairgrounds
-104.9089864,39.57008276,6,16,37,3,0,6163703218,218,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_218.pdf,AC,2022/02/02,AC,2025/10/20,954,2025/10/20,0.03616040627,0.00007443761,Arapahoe County Lima Plaza,6954 S Lima St,Centennial,CO,80112,39.5747,-104.881,,,,,,,,,,,,,Arapahoe County Lima Plaza
-104.9089562,39.57726231,6,16,37,3,0,6163703220,220,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_220.pdf,AC,2022/02/02,AC,2025/10/20,903,2025/10/20,0.03391063481,0.00006162837,Arapahoe County Lima Plaza,6954 S Lima St,Centennial,CO,80112,39.5747,-104.881,,,,,,,,,,,,,Arapahoe County Lima Plaza
-104.908013,39.58556841,6,16,37,3,0,6163703222,222,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_222.pdf,AC,2022/02/02,AC,2025/10/20,959,2025/10/20,0.03366258568,0.000056508,Arapahoe County Lima Plaza,6954 S Lima St,Centennial,CO,80112,39.5747,-104.881,,,,,,,,,,,,,Arapahoe County Lima Plaza
