Precinct,Voters,Nearest VSPC,Distance to Nearest VSPC (mi.),Assigned VSPC,Distance to Assigned VSPC (mi.),Distance Difference (mi.),Reassigned,Voters Assigned,Precincts Assigned,Address,City,State,Zip,Precinct Map URL
155,1255,Arapahoe Community College,0.44,Arapahoe Community College,0.44,0.00,False,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_155.pdf
156,498,Arapahoe Community College,0.23,Arapahoe Community College,0.23,0.00,False,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_156.pdf
163,835,Arapahoe Community College,1.64,Arapahoe Community College,1.64,0.00,False,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_163.pdf
164,822,Arapahoe Community College,1.92,Arapahoe Community College,1.92,0.00,False,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_164.pdf
165,1050,Arapahoe Community College,0.76,Arapahoe Community College,0.76,0.00,False,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_165.pdf
166,458,Arapahoe Community College,1.20,Arapahoe Community College,1.20,0.00,False,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_166.pdf
167,947,Arapahoe Community College,0.96,Arapahoe Community College,0.96,0.00,False,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_167.pdf
168,962,Arapahoe Community College,0.38,Arapahoe Community College,0.38,0.00,False,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_168.pdf
169,1061,Arapahoe Community College,0.91,Arapahoe Community College,0.91,0.00,False,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_169.pdf
170,1384,Arapahoe Community College,1.99,Arapahoe Community College,1.99,0.00,False,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_170.pdf
171,1494,Arapahoe Community College,0.82,Arapahoe Community College,0.82,0.00,False,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_171.pdf
172,837,Arapahoe Community College,1.01,Arapahoe Community College,1.01,0.00,False,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_172.pdf
173,1378,Arapahoe Community College,1.56,Arapahoe Community College,1.56,0.00,False,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_173.pdf
174,723,Arapahoe Community College,1.05,Arapahoe Community College,1.05,0.00,False,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_174.pdf
175,1001,Arapahoe Community College,1.63,Arapahoe Community College,1.63,0.00,False,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_175.pdf
176,1377,Arapahoe Community College,1.35,Arapahoe Community College,1.35,0.00,False,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_176.pdf
177,994,Arapahoe Community College,1.56,Arapahoe Community College,1.56,0.00,False,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_177.pdf
178,884,Arapahoe Community College,1.43,Arapahoe Community College,1.43,0.00,False,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_178.pdf
179,718,Arapahoe Community College,1.58,Arapahoe Community College,1.58,0.00,False,18678,19,5900 S Santa Fe Dr,Littleton,CO,80120,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_179.pdf
322,1175,The Avenue Church,1.49,Arapahoe County CentrePoint Plaza,3.03,1.54,True,9856,8,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_322.pdf
435,1478,City of Aurora Municipal Center,1.02,Arapahoe County CentrePoint Plaza,2.71,1.69,True,9856,8,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_435.pdf
452,1070,The Avenue Church,2.20,Arapahoe County CentrePoint Plaza,3.57,1.37,True,9856,8,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_452.pdf
473,1069,The Avenue Church,1.89,Arapahoe County CentrePoint Plaza,3.04,1.15,True,9856,8,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_473.pdf
544,1557,City of Aurora Municipal Center,0.62,Arapahoe County CentrePoint Plaza,1.19,0.57,True,9856,8,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_544.pdf
545,404,Arapahoe County CentrePoint Plaza,0.94,Arapahoe County CentrePoint Plaza,0.94,0.00,False,9856,8,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_545.pdf
556,1327,The Avenue Church,1.46,Arapahoe County CentrePoint Plaza,2.54,1.08,True,9856,8,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_556.pdf
557,1776,The Avenue Church,1.09,Arapahoe County CentrePoint Plaza,2.58,1.49,True,9856,8,14980 E Alameda Dr,Aurora,CO,80012,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_557.pdf
348,0,Arapahoe County Fairgrounds,11.10,Arapahoe County Fairgrounds,11.10,0.00,False,6677,10,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_348.pdf
353,1122,Trails Recreation Center,5.26,Arapahoe County Fairgrounds,8.16,2.91,True,6677,10,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_353.pdf
357,733,Arapahoe County Fairgrounds,6.65,Arapahoe County Fairgrounds,6.65,0.00,False,6677,10,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_357.pdf
359,0,Arapahoe County Fairgrounds,2.18,Arapahoe County Fairgrounds,2.18,0.00,False,6677,10,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_359.pdf
360,508,Arapahoe County Fairgrounds,0.85,Arapahoe County Fairgrounds,0.85,0.00,False,6677,10,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_360.pdf
361,976,Arapahoe County Fairgrounds,1.51,Arapahoe County Fairgrounds,1.51,0.00,False,6677,10,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_361.pdf
362,477,Arapahoe County Fairgrounds,3.87,Arapahoe County Fairgrounds,3.87,0.00,False,6677,10,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_362.pdf
366,475,Arapahoe County Fairgrounds,11.18,Arapahoe County Fairgrounds,11.18,0.00,False,6677,10,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_366.pdf
377,1104,Trails Recreation Center,6.49,Arapahoe County Fairgrounds,9.07,2.58,True,6677,10,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_377.pdf
383,1282,Trails Recreation Center,6.06,Arapahoe County Fairgrounds,8.05,1.99,True,6677,10,25690 E Quincy Ave,Aurora,CO,80016,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_383.pdf
218,964,Arapahoe County Lima Plaza,1.52,Arapahoe County Lima Plaza,1.52,0.00,False,10656,11,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_218.pdf
220,910,Arapahoe County Lima Plaza,1.50,Arapahoe County Lima Plaza,1.50,0.00,False,10656,11,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_220.pdf
222,909,Arapahoe County Lima Plaza,1.62,Arapahoe County Lima Plaza,1.62,0.00,False,10656,11,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_222.pdf
235,733,Arapahoe County Lima Plaza,1.52,Arapahoe County Lima Plaza,1.52,0.00,False,10656,11,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_235.pdf
236,689,Arapahoe County Lima Plaza,1.20,Arapahoe County Lima Plaza,1.20,0.00,False,10656,11,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_236.pdf
237,1208,Arapahoe County Lima Plaza,1.11,Arapahoe County Lima Plaza,1.11,0.00,False,10656,11,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_237.pdf
238,885,Arapahoe County Lima Plaza,0.66,Arapahoe County Lima Plaza,0.66,0.00,False,10656,11,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_238.pdf
239,863,Arapahoe County Lima Plaza,0.96,Arapahoe County Lima Plaza,0.96,0.00,False,10656,11,6954 S Lima St,Centennial,CO,80112,https://gis.arapahoegov.com/mapsandphotos/electionprecinctpdfs/Precinct_239.pdf
